Id,Name,Job,Grade,Desc,Atk,Def,Icon
Char_W1,Char_W1_Name,Job_W,SSR,Char_W1_Desc,30,25,Icon_Warrior
Char_W2,Char_W2_Name,Job_W,SR,Char_W2_Desc,20,18,Icon_Warrior
Char_W3,Char_W3_Name,Job_W,R,Char_W3_Desc,10,10,Icon_Warrior
Char_A1,Char_A1_Name,Job_A,SSR,Char_A1_Desc,28,12,Icon_Archer
Char_A2,Char_A2_Name,Job_A,SR,Char_A2_Desc,18,10,Icon_Archer
Char_A3,Char_A3_Name,Job_A,R,Char_A3_Desc,12,8,Icon_Archer
Char_M1,Char_M1_Name,Job_M,SSR,Char_M1_Desc,35,8,Icon_Mage
Char_M2,Char_M2_Name,Job_M,SR,Char_M2_Desc,22,6,Icon_Mage
Char_M3,Char_M3_Name,Job_M,R,Char_M3_Desc,12,4,Icon_Mage
Char_P1,Char_P1_Name,Job_P,SSR,Char_P1_Desc,32,15,Icon_Pirate
Char_P2,Char_P2_Name,Job_P,SR,Char_P2_Desc,22,12,Icon_Pirate
Char_P3,Char_P3_Name,Job_P,R,Char_P3_Desc,14,8,Icon_Pirate
