Id,String
HELLO,やあ
BYE,じゃあな
YOU DIE,あなたは死ぬ
Item1Name,剣
Item2Name,盾
Item3Name,弓
Item4Name,ポーション
Item1Desc,これは剣だ。
Item2Desc,これは盾だ。
Item3Desc,これは弓だ。
Item4Desc,これはポーションだ。
Char1Name,カイラス
Char2Name,アスカロン
Char3Name,エレノア
Char4Name,バルボッサ
Jop1,アーチャー
Jop2,ウォーリアー
Jop3,メイジ
Jop4,パイレーツ
Char1Desc,遠距離攻撃が大好きな弓使い
Char2Desc,猪突猛進な戦士
Char3Desc,ガリ勉な魔術師
Char4Desc,欲張りな海賊
Label_Atk,攻撃力
Label_Def,防御力
NAME,名前
DESC,説明
TYPE,タイプ
VALUE,価値
COST,コスト
WEAPON,武器
EQUIP,装備
CONSUMABLE,消耗品
SortTimeAscending,日付 (昇順)
SortTimeDescending,日付 (降順)
SortNameAscending,名前 (昇順)
SortNameDescending,名前 (降順)
SortCostAscending,価格 (昇順)
SortCostDescending,価格 (降順)
FilterNone,なし
FilterWeapon,武器
FilterEquip,装備
FilterConsumable,消耗品
FilterNoneConsumable,消耗品 이외
Load,ロード
Save,セーブ
CreateItem,アイテム生成
RemoveItem,アイテム削除
