Id,String
HELLO,안녕
BYE,잘가
YOU DIE,너 죽음
Item1Name,검
Item2Name,방패
Item3Name,활 
Item4Name,물약 
Item1Desc,이것은 검이다.
Item2Desc,이것은 방패다.
Item3Desc,이것은 활이다.
Item4Desc,이것은 물약이다.
Char_W1_Name,아스칼론
Char_W2_Name,가이우스
Char_W3_Name,훈련병
Char_A1_Name,실바나
Char_A2_Name,카일러스
Char_A3_Name,사냥꾼
Char_M1_Name,엘리노아
Char_M2_Name,카드리안
Char_M3_Name,견습생
Char_P1_Name,바르보사
Char_P2_Name,드레이크
Char_P3_Name,선원
Job_W,전사
Job_A,궁수
Job_M,마법사
Job_P,해적
Char_W1_Desc,빛의 심판을 내리는 성기사
Char_W2_Desc,베테랑 용병
Char_W3_Desc,패기 넘치는 신병
Char_A1_Desc,바람의 인도자
Char_A2_Desc,그림자 저격수
Char_A3_Desc,숲의 추적자
Char_M1_Desc,전설적인 대마법사
Char_M2_Desc,불꽃의 지배자
Char_M3_Desc,마법학교 모범생
Char_P1_Desc,바다의 폭군
Char_P2_Desc,보물 사냥꾼 선장
Char_P3_Desc,거친 바다의 일꾼
Label_Atk,공격력
Label_Def,방어력
Label_Grade,등급
NAME,이름
DESC,설명
TYPE,타입
VALUE,밸류
COST,코스트
WEAPON,무기
EQUIP,장비
CONSUMABLE,소모품
SortTimeAscending,날짜(오름차순)
SortTimeDescending,날짜(내림차순)
SortNameAscending,이름(오름차순)
SortNameDescending,이름(내림차순)
SortCostAscending,가격(오름차순)
SortCostDescending,가격(내림차순)
FilterNone,없음
FilterWeapon,무기
FilterEquip,장비
FilterConsumable,소모품
FilterNoneConsumable,소모품 아님
Load,불러오기
Save,저장
CreateItem,아이템 생성
RemoveItem,아이템 삭제
CreateCharacter,캐릭터 생성
DeleteCharacter,캐릭터 삭제
SortDefault,기본 정렬
SortGradeDesc,등급 높은 순
SortAtkDesc,공격력 높은 순
Filter_All,전체 보기
Filter_SSR,SSR 등급
Filter_SROver,SR 등급 이상




